region,2007_Pop,2012_Pop,2013_Pop
alabama,4627851,4822023,4833722
alaska,683478,731449,735132
arizona,6338755,6553255,6626624
arkansas,2834797,2949131,2959373
california,36553215,38041430,38332521
colorado,4861515,5187582,5268367
connecticut,3502309,3590347,3596080
delaware,864764,917092,925749
district of columbia,588292,632323,646449
florida,18251243,19317568,19552860
georgia,9544750,9919945,9992167
hawaii,1283388,1392313,1404054
idaho,1499402,1595728,1612136
illinois,12852548,12875255,12882135
indiana,6345289,6537334,6570902
iowa,2988046,3074186,3090416
kansas,2775997,2885905,2893957
kentucky,4241474,4380415,4395295
louisiana,4293204,4601893,4625470
maine,1317207,1329192,1328302
maryland,5618344,5884563,5928814
massachusetts,6449755,6646144,6692824
michigan,10071822,9883360,9895622
minnesota,5197621,5379139,5420380
mississippi,2918785,2984926,2991207
missouri,5878415,6021988,6044171
montana,957861,1005141,1015165
nebraska,1774571,1855525,1868516
nevada,2565382,2758931,2790136
new hampshire,1315828,1320718,1323459
new jersey,8685920,8864590,8899339
new mexico,1969915,2085538,2085287
new york,19297729,19570261,19651127
north carolina,9061032,9752073,9848060
north dakota,639715,699628,723393
ohio,11466917,11544225,11570808
oklahoma,3617316,3814820,3850568
oregon,3747455,3899353,3930065
pennsylvania,12432792,12763536,12773801
rhode island,1057832,1050292,1051511
south carolina,4407709,4723723,4774839
south dakota,796214,833354,844877
tennessee,6156719,6456243,6495978
texas,23904380,26059203,26448193
utah,2645330,2855287,2900872
vermont,621254,626011,626630
virginia,7712091,8185867,8260405
washington,6468424,6897012,6971406
west virginia,1812035,1855413,1854304
wisconsin,5601640,5726398,5742713
wyoming,522830,576412,582658